# Unicode Emoji 17.0 机器可读版
# 生成日期: 2026-02-13
# 数据源: emoji-test.txt (官方17.0)
# 字段: 字符	码位序列	状态	版本	名称
# 行数: 包含 fully/minimally/unqualified/component，完全未过滤
👩🏿‍❤️‍👨🏽	1F469 1F3FF 200D 2764 FE0F 200D 1F468 1F3FD	fully-qualified	E13.1	couple with heart: woman, man, dark skin tone, medium skin tone
👩🏿‍❤‍👨🏽	1F469 1F3FF 200D 2764 200D 1F468 1F3FD	minimally-qualified	E13.1	couple with heart: woman, man, dark skin tone, medium skin tone
👩🏿‍❤️‍👨🏾	1F469 1F3FF 200D 2764 FE0F 200D 1F468 1F3FE	fully-qualified	E13.1	couple with heart: woman, man, dark skin tone, medium-dark skin tone
👩🏿‍❤‍👨🏾	1F469 1F3FF 200D 2764 200D 1F468 1F3FE	minimally-qualified	E13.1	couple with heart: woman, man, dark skin tone, medium-dark skin tone
👩🏿‍❤️‍👨🏿	1F469 1F3FF 200D 2764 FE0F 200D 1F468 1F3FF	fully-qualified	E13.1	couple with heart: woman, man, dark skin tone
👩🏿‍❤‍👨🏿	1F469 1F3FF 200D 2764 200D 1F468 1F3FF	minimally-qualified	E13.1	couple with heart: woman, man, dark skin tone
👨‍❤️‍👨	1F468 200D 2764 FE0F 200D 1F468	fully-qualified	E2.0	couple with heart: man, man
👨‍❤‍👨	1F468 200D 2764 200D 1F468	minimally-qualified	E2.0	couple with heart: man, man
👨🏻‍❤️‍👨🏻	1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FB	fully-qualified	E13.1	couple with heart: man, man, light skin tone
👨🏻‍❤‍👨🏻	1F468 1F3FB 200D 2764 200D 1F468 1F3FB	minimally-qualified	E13.1	couple with heart: man, man, light skin tone
👨🏻‍❤️‍👨🏼	1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FC	fully-qualified	E13.1	couple with heart: man, man, light skin tone, medium-light skin tone
👨🏻‍❤‍👨🏼	1F468 1F3FB 200D 2764 200D 1F468 1F3FC	minimally-qualified	E13.1	couple with heart: man, man, light skin tone, medium-light skin tone
👨🏻‍❤️‍👨🏽	1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FD	fully-qualified	E13.1	couple with heart: man, man, light skin tone, medium skin tone
👨🏻‍❤‍👨🏽	1F468 1F3FB 200D 2764 200D 1F468 1F3FD	minimally-qualified	E13.1	couple with heart: man, man, light skin tone, medium skin tone
👨🏻‍❤️‍👨🏾	1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FE	fully-qualified	E13.1	couple with heart: man, man, light skin tone, medium-dark skin tone
👨🏻‍❤‍👨🏾	1F468 1F3FB 200D 2764 200D 1F468 1F3FE	minimally-qualified	E13.1	couple with heart: man, man, light skin tone, medium-dark skin tone
👨🏻‍❤️‍👨🏿	1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FF	fully-qualified	E13.1	couple with heart: man, man, light skin tone, dark skin tone
👨🏻‍❤‍👨🏿	1F468 1F3FB 200D 2764 200D 1F468 1F3FF	minimally-qualified	E13.1	couple with heart: man, man, light skin tone, dark skin tone
👨🏼‍❤️‍👨🏻	1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FB	fully-qualified	E13.1	couple with heart: man, man, medium-light skin tone, light skin tone
👨🏼‍❤‍👨🏻	1F468 1F3FC 200D 2764 200D 1F468 1F3FB	minimally-qualified	E13.1	couple with heart: man, man, medium-light skin tone, light skin tone
👨🏼‍❤️‍👨🏼	1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FC	fully-qualified	E13.1	couple with heart: man, man, medium-light skin tone
👨🏼‍❤‍👨🏼	1F468 1F3FC 200D 2764 200D 1F468 1F3FC	minimally-qualified	E13.1	couple with heart: man, man, medium-light skin tone
👨🏼‍❤️‍👨🏽	1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FD	fully-qualified	E13.1	couple with heart: man, man, medium-light skin tone, medium skin tone
👨🏼‍❤‍👨🏽	1F468 1F3FC 200D 2764 200D 1F468 1F3FD	minimally-qualified	E13.1	couple with heart: man, man, medium-light skin tone, medium skin tone
👨🏼‍❤️‍👨🏾	1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FE	fully-qualified	E13.1	couple with heart: man, man, medium-light skin tone, medium-dark skin tone
👨🏼‍❤‍👨🏾	1F468 1F3FC 200D 2764 200D 1F468 1F3FE	minimally-qualified	E13.1	couple with heart: man, man, medium-light skin tone, medium-dark skin tone
👨🏼‍❤️‍👨🏿	1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FF	fully-qualified	E13.1	couple with heart: man, man, medium-light skin tone, dark skin tone
👨🏼‍❤‍👨🏿	1F468 1F3FC 200D 2764 200D 1F468 1F3FF	minimally-qualified	E13.1	couple with heart: man, man, medium-light skin tone, dark skin tone
👨🏽‍❤️‍👨🏻	1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FB	fully-qualified	E13.1	couple with heart: man, man, medium skin tone, light skin tone
👨🏽‍❤‍👨🏻	1F468 1F3FD 200D 2764 200D 1F468 1F3FB	minimally-qualified	E13.1	couple with heart: man, man, medium skin tone, light skin tone
👨🏽‍❤️‍👨🏼	1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FC	fully-qualified	E13.1	couple with heart: man, man, medium skin tone, medium-light skin tone
👨🏽‍❤‍👨🏼	1F468 1F3FD 200D 2764 200D 1F468 1F3FC	minimally-qualified	E13.1	couple with heart: man, man, medium skin tone, medium-light skin tone
👨🏽‍❤️‍👨🏽	1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FD	fully-qualified	E13.1	couple with heart: man, man, medium skin tone
👨🏽‍❤‍👨🏽	1F468 1F3FD 200D 2764 200D 1F468 1F3FD	minimally-qualified	E13.1	couple with heart: man, man, medium skin tone
👨🏽‍❤️‍👨🏾	1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FE	fully-qualified	E13.1	couple with heart: man, man, medium skin tone, medium-dark skin tone
👨🏽‍❤‍👨🏾	1F468 1F3FD 200D 2764 200D 1F468 1F3FE	minimally-qualified	E13.1	couple with heart: man, man, medium skin tone, medium-dark skin tone
👨🏽‍❤️‍👨🏿	1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FF	fully-qualified	E13.1	couple with heart: man, man, medium skin tone, dark skin tone
👨🏽‍❤‍👨🏿	1F468 1F3FD 200D 2764 200D 1F468 1F3FF	minimally-qualified	E13.1	couple with heart: man, man, medium skin tone, dark skin tone
👨🏾‍❤️‍👨🏻	1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FB	fully-qualified	E13.1	couple with heart: man, man, medium-dark skin tone, light skin tone
👨🏾‍❤‍👨🏻	1F468 1F3FE 200D 2764 200D 1F468 1F3FB	minimally-qualified	E13.1	couple with heart: man, man, medium-dark skin tone, light skin tone
👨🏾‍❤️‍👨🏼	1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FC	fully-qualified	E13.1	couple with heart: man, man, medium-dark skin tone, medium-light skin tone
👨🏾‍❤‍👨🏼	1F468 1F3FE 200D 2764 200D 1F468 1F3FC	minimally-qualified	E13.1	couple with heart: man, man, medium-dark skin tone, medium-light skin tone
👨🏾‍❤️‍👨🏽	1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FD	fully-qualified	E13.1	couple with heart: man, man, medium-dark skin tone, medium skin tone
👨🏾‍❤‍👨🏽	1F468 1F3FE 200D 2764 200D 1F468 1F3FD	minimally-qualified	E13.1	couple with heart: man, man, medium-dark skin tone, medium skin tone
👨🏾‍❤️‍👨🏾	1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FE	fully-qualified	E13.1	couple with heart: man, man, medium-dark skin tone
👨🏾‍❤‍👨🏾	1F468 1F3FE 200D 2764 200D 1F468 1F3FE	minimally-qualified	E13.1	couple with heart: man, man, medium-dark skin tone
👨🏾‍❤️‍👨🏿	1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FF	fully-qualified	E13.1	couple with heart: man, man, medium-dark skin tone, dark skin tone
👨🏾‍❤‍👨🏿	1F468 1F3FE 200D 2764 200D 1F468 1F3FF	minimally-qualified	E13.1	couple with heart: man, man, medium-dark skin tone, dark skin tone
👨🏿‍❤️‍👨🏻	1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FB	fully-qualified	E13.1	couple with heart: man, man, dark skin tone, light skin tone
👨🏿‍❤‍👨🏻	1F468 1F3FF 200D 2764 200D 1F468 1F3FB	minimally-qualified	E13.1	couple with heart: man, man, dark skin tone, light skin tone
👨🏿‍❤️‍👨🏼	1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FC	fully-qualified	E13.1	couple with heart: man, man, dark skin tone, medium-light skin tone
👨🏿‍❤‍👨🏼	1F468 1F3FF 200D 2764 200D 1F468 1F3FC	minimally-qualified	E13.1	couple with heart: man, man, dark skin tone, medium-light skin tone
👨🏿‍❤️‍👨🏽	1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FD	fully-qualified	E13.1	couple with heart: man, man, dark skin tone, medium skin tone
👨🏿‍❤‍👨🏽	1F468 1F3FF 200D 2764 200D 1F468 1F3FD	minimally-qualified	E13.1	couple with heart: man, man, dark skin tone, medium skin tone
👨🏿‍❤️‍👨🏾	1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FE	fully-qualified	E13.1	couple with heart: man, man, dark skin tone, medium-dark skin tone
👨🏿‍❤‍👨🏾	1F468 1F3FF 200D 2764 200D 1F468 1F3FE	minimally-qualified	E13.1	couple with heart: man, man, dark skin tone, medium-dark skin tone
👨🏿‍❤️‍👨🏿	1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FF	fully-qualified	E13.1	couple with heart: man, man, dark skin tone
👨🏿‍❤‍👨🏿	1F468 1F3FF 200D 2764 200D 1F468 1F3FF	minimally-qualified	E13.1	couple with heart: man, man, dark skin tone
👩‍❤️‍👩	1F469 200D 2764 FE0F 200D 1F469	fully-qualified	E2.0	couple with heart: woman, woman
👩‍❤‍👩	1F469 200D 2764 200D 1F469	minimally-qualified	E2.0	couple with heart: woman, woman
👩🏻‍❤️‍👩🏻	1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FB	fully-qualified	E13.1	couple with heart: woman, woman, light skin tone
👩🏻‍❤‍👩🏻	1F469 1F3FB 200D 2764 200D 1F469 1F3FB	minimally-qualified	E13.1	couple with heart: woman, woman, light skin tone
👩🏻‍❤️‍👩🏼	1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FC	fully-qualified	E13.1	couple with heart: woman, woman, light skin tone, medium-light skin tone
👩🏻‍❤‍👩🏼	1F469 1F3FB 200D 2764 200D 1F469 1F3FC	minimally-qualified	E13.1	couple with heart: woman, woman, light skin tone, medium-light skin tone
👩🏻‍❤️‍👩🏽	1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FD	fully-qualified	E13.1	couple with heart: woman, woman, light skin tone, medium skin tone
👩🏻‍❤‍👩🏽	1F469 1F3FB 200D 2764 200D 1F469 1F3FD	minimally-qualified	E13.1	couple with heart: woman, woman, light skin tone, medium skin tone
👩🏻‍❤️‍👩🏾	1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FE	fully-qualified	E13.1	couple with heart: woman, woman, light skin tone, medium-dark skin tone
👩🏻‍❤‍👩🏾	1F469 1F3FB 200D 2764 200D 1F469 1F3FE	minimally-qualified	E13.1	couple with heart: woman, woman, light skin tone, medium-dark skin tone
👩🏻‍❤️‍👩🏿	1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FF	fully-qualified	E13.1	couple with heart: woman, woman, light skin tone, dark skin tone
👩🏻‍❤‍👩🏿	1F469 1F3FB 200D 2764 200D 1F469 1F3FF	minimally-qualified	E13.1	couple with heart: woman, woman, light skin tone, dark skin tone
👩🏼‍❤️‍👩🏻	1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FB	fully-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone, light skin tone
👩🏼‍❤‍👩🏻	1F469 1F3FC 200D 2764 200D 1F469 1F3FB	minimally-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone, light skin tone
👩🏼‍❤️‍👩🏼	1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FC	fully-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone
👩🏼‍❤‍👩🏼	1F469 1F3FC 200D 2764 200D 1F469 1F3FC	minimally-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone
👩🏼‍❤️‍👩🏽	1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FD	fully-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone, medium skin tone
👩🏼‍❤‍👩🏽	1F469 1F3FC 200D 2764 200D 1F469 1F3FD	minimally-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone, medium skin tone
👩🏼‍❤️‍👩🏾	1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FE	fully-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone, medium-dark skin tone
👩🏼‍❤‍👩🏾	1F469 1F3FC 200D 2764 200D 1F469 1F3FE	minimally-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone, medium-dark skin tone
👩🏼‍❤️‍👩🏿	1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FF	fully-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone, dark skin tone
👩🏼‍❤‍👩🏿	1F469 1F3FC 200D 2764 200D 1F469 1F3FF	minimally-qualified	E13.1	couple with heart: woman, woman, medium-light skin tone, dark skin tone
👩🏽‍❤️‍👩🏻	1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FB	fully-qualified	E13.1	couple with heart: woman, woman, medium skin tone, light skin tone
👩🏽‍❤‍👩🏻	1F469 1F3FD 200D 2764 200D 1F469 1F3FB	minimally-qualified	E13.1	couple with heart: woman, woman, medium skin tone, light skin tone
👩🏽‍❤️‍👩🏼	1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FC	fully-qualified	E13.1	couple with heart: woman, woman, medium skin tone, medium-light skin tone
👩🏽‍❤‍👩🏼	1F469 1F3FD 200D 2764 200D 1F469 1F3FC	minimally-qualified	E13.1	couple with heart: woman, woman, medium skin tone, medium-light skin tone
👩🏽‍❤️‍👩🏽	1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FD	fully-qualified	E13.1	couple with heart: woman, woman, medium skin tone
👩🏽‍❤‍👩🏽	1F469 1F3FD 200D 2764 200D 1F469 1F3FD	minimally-qualified	E13.1	couple with heart: woman, woman, medium skin tone
👩🏽‍❤️‍👩🏾	1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FE	fully-qualified	E13.1	couple with heart: woman, woman, medium skin tone, medium-dark skin tone
👩🏽‍❤‍👩🏾	1F469 1F3FD 200D 2764 200D 1F469 1F3FE	minimally-qualified	E13.1	couple with heart: woman, woman, medium skin tone, medium-dark skin tone
👩🏽‍❤️‍👩🏿	1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FF	fully-qualified	E13.1	couple with heart: woman, woman, medium skin tone, dark skin tone
👩🏽‍❤‍👩🏿	1F469 1F3FD 200D 2764 200D 1F469 1F3FF	minimally-qualified	E13.1	couple with heart: woman, woman, medium skin tone, dark skin tone
👩🏾‍❤️‍👩🏻	1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FB	fully-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone, light skin tone
👩🏾‍❤‍👩🏻	1F469 1F3FE 200D 2764 200D 1F469 1F3FB	minimally-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone, light skin tone
👩🏾‍❤️‍👩🏼	1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FC	fully-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone, medium-light skin tone
👩🏾‍❤‍👩🏼	1F469 1F3FE 200D 2764 200D 1F469 1F3FC	minimally-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone, medium-light skin tone
👩🏾‍❤️‍👩🏽	1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FD	fully-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone, medium skin tone
👩🏾‍❤‍👩🏽	1F469 1F3FE 200D 2764 200D 1F469 1F3FD	minimally-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone, medium skin tone
👩🏾‍❤️‍👩🏾	1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FE	fully-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone
👩🏾‍❤‍👩🏾	1F469 1F3FE 200D 2764 200D 1F469 1F3FE	minimally-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone
👩🏾‍❤️‍👩🏿	1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FF	fully-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone, dark skin tone
👩🏾‍❤‍👩🏿	1F469 1F3FE 200D 2764 200D 1F469 1F3FF	minimally-qualified	E13.1	couple with heart: woman, woman, medium-dark skin tone, dark skin tone
👩🏿‍❤️‍👩🏻	1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FB	fully-qualified	E13.1	couple with heart: woman, woman, dark skin tone, light skin tone
👩🏿‍❤‍👩🏻	1F469 1F3FF 200D 2764 200D 1F469 1F3FB	minimally-qualified	E13.1	couple with heart: woman, woman, dark skin tone, light skin tone
👩🏿‍❤️‍👩🏼	1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FC	fully-qualified	E13.1	couple with heart: woman, woman, dark skin tone, medium-light skin tone
👩🏿‍❤‍👩🏼	1F469 1F3FF 200D 2764 200D 1F469 1F3FC	minimally-qualified	E13.1	couple with heart: woman, woman, dark skin tone, medium-light skin tone
👩🏿‍❤️‍👩🏽	1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FD	fully-qualified	E13.1	couple with heart: woman, woman, dark skin tone, medium skin tone
👩🏿‍❤‍👩🏽	1F469 1F3FF 200D 2764 200D 1F469 1F3FD	minimally-qualified	E13.1	couple with heart: woman, woman, dark skin tone, medium skin tone
👩🏿‍❤️‍👩🏾	1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FE	fully-qualified	E13.1	couple with heart: woman, woman, dark skin tone, medium-dark skin tone
👩🏿‍❤‍👩🏾	1F469 1F3FF 200D 2764 200D 1F469 1F3FE	minimally-qualified	E13.1	couple with heart: woman, woman, dark skin tone, medium-dark skin tone
👩🏿‍❤️‍👩🏿	1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FF	fully-qualified	E13.1	couple with heart: woman, woman, dark skin tone
👩🏿‍❤‍👩🏿	1F469 1F3FF 200D 2764 200D 1F469 1F3FF	minimally-qualified	E13.1	couple with heart: woman, woman, dark skin tone
👨‍👩‍👦	1F468 200D 1F469 200D 1F466	fully-qualified	E2.0	family: man, woman, boy
👨‍👩‍👧	1F468 200D 1F469 200D 1F467	fully-qualified	E2.0	family: man, woman, girl
👨‍👩‍👧‍👦	1F468 200D 1F469 200D 1F467 200D 1F466	fully-qualified	E2.0	family: man, woman, girl, boy
👨‍👩‍👦‍👦	1F468 200D 1F469 200D 1F466 200D 1F466	fully-qualified	E2.0	family: man, woman, boy, boy
👨‍👩‍👧‍👧	1F468 200D 1F469 200D 1F467 200D 1F467	fully-qualified	E2.0	family: man, woman, girl, girl
👨‍👨‍👦	1F468 200D 1F468 200D 1F466	fully-qualified	E2.0	family: man, man, boy
👨‍👨‍👧	1F468 200D 1F468 200D 1F467	fully-qualified	E2.0	family: man, man, girl
👨‍👨‍👧‍👦	1F468 200D 1F468 200D 1F467 200D 1F466	fully-qualified	E2.0	family: man, man, girl, boy
👨‍👨‍👦‍👦	1F468 200D 1F468 200D 1F466 200D 1F466	fully-qualified	E2.0	family: man, man, boy, boy
👨‍👨‍👧‍👧	1F468 200D 1F468 200D 1F467 200D 1F467	fully-qualified	E2.0	family: man, man, girl, girl
👩‍👩‍👦	1F469 200D 1F469 200D 1F466	fully-qualified	E2.0	family: woman, woman, boy
👩‍👩‍👧	1F469 200D 1F469 200D 1F467	fully-qualified	E2.0	family: woman, woman, girl
👩‍👩‍👧‍👦	1F469 200D 1F469 200D 1F467 200D 1F466	fully-qualified	E2.0	family: woman, woman, girl, boy
👩‍👩‍👦‍👦	1F469 200D 1F469 200D 1F466 200D 1F466	fully-qualified	E2.0	family: woman, woman, boy, boy
👩‍👩‍👧‍👧	1F469 200D 1F469 200D 1F467 200D 1F467	fully-qualified	E2.0	family: woman, woman, girl, girl
👨‍👦	1F468 200D 1F466	fully-qualified	E4.0	family: man, boy
👨‍👦‍👦	1F468 200D 1F466 200D 1F466	fully-qualified	E4.0	family: man, boy, boy
👨‍👧	1F468 200D 1F467	fully-qualified	E4.0	family: man, girl
👨‍👧‍👦	1F468 200D 1F467 200D 1F466	fully-qualified	E4.0	family: man, girl, boy
👨‍👧‍👧	1F468 200D 1F467 200D 1F467	fully-qualified	E4.0	family: man, girl, girl
👩‍👦	1F469 200D 1F466	fully-qualified	E4.0	family: woman, boy
👩‍👦‍👦	1F469 200D 1F466 200D 1F466	fully-qualified	E4.0	family: woman, boy, boy
👩‍👧	1F469 200D 1F467	fully-qualified	E4.0	family: woman, girl
👩‍👧‍👦	1F469 200D 1F467 200D 1F466	fully-qualified	E4.0	family: woman, girl, boy
👩‍👧‍👧	1F469 200D 1F467 200D 1F467	fully-qualified	E4.0	family: woman, girl, girl
🗣️	1F5E3 FE0F	fully-qualified	E0.7	speaking head
🗣	1F5E3	unqualified	E0.7	speaking head
👤	1F464	fully-qualified	E0.6	bust in silhouette
👥	1F465	fully-qualified	E1.0	busts in silhouette
🫂	1FAC2	fully-qualified	E13.0	people hugging
👪	1F46A	fully-qualified	E0.6	family
🧑‍🧑‍🧒	1F9D1 200D 1F9D1 200D 1F9D2	fully-qualified	E15.1	family: adult, adult, child
🧑‍🧑‍🧒‍🧒	1F9D1 200D 1F9D1 200D 1F9D2 200D 1F9D2	fully-qualified	E15.1	family: adult, adult, child, child
🧑‍🧒	1F9D1 200D 1F9D2	fully-qualified	E15.1	family: adult, child
🧑‍🧒‍🧒	1F9D1 200D 1F9D2 200D 1F9D2	fully-qualified	E15.1	family: adult, child, child
👣	1F463	fully-qualified	E0.6	footprints
🫆	1FAC6	fully-qualified	E16.0	fingerprint
🏻	1F3FB	component	E1.0	light skin tone
🏼	1F3FC	component	E1.0	medium-light skin tone
🏽	1F3FD	component	E1.0	medium skin tone
🏾	1F3FE	component	E1.0	medium-dark skin tone
🏿	1F3FF	component	E1.0	dark skin tone
🦰	1F9B0	component	E11.0	red hair
🦱	1F9B1	component	E11.0	curly hair
🦳	1F9B3	component	E11.0	white hair
🦲	1F9B2	component	E11.0	bald
🐵	1F435	fully-qualified	E0.6	monkey face
🐒	1F412	fully-qualified	E0.6	monkey
🦍	1F98D	fully-qualified	E3.0	gorilla
🦧	1F9A7	fully-qualified	E12.0	orangutan
🐶	1F436	fully-qualified	E0.6	dog face
🐕	1F415	fully-qualified	E0.7	dog
🦮	1F9AE	fully-qualified	E12.0	guide dog
🐕‍🦺	1F415 200D 1F9BA	fully-qualified	E12.0	service dog
🐩	1F429	fully-qualified	E0.6	poodle
🐺	1F43A	fully-qualified	E0.6	wolf
🦊	1F98A	fully-qualified	E3.0	fox
🦝	1F99D	fully-qualified	E11.0	raccoon
🐱	1F431	fully-qualified	E0.6	cat face
🐈	1F408	fully-qualified	E0.7	cat
🐈‍⬛	1F408 200D 2B1B	fully-qualified	E13.0	black cat
🦁	1F981	fully-qualified	E1.0	lion
🐯	1F42F	fully-qualified	E0.6	tiger face
🐅	1F405	fully-qualified	E1.0	tiger
🐆	1F406	fully-qualified	E1.0	leopard
🐴	1F434	fully-qualified	E0.6	horse face
🫎	1FACE	fully-qualified	E15.0	moose
🫏	1FACF	fully-qualified	E15.0	donkey
🐎	1F40E	fully-qualified	E0.6	horse
🦄	1F984	fully-qualified	E1.0	unicorn
🦓	1F993	fully-qualified	E5.0	zebra
🦌	1F98C	fully-qualified	E3.0	deer
🦬	1F9AC	fully-qualified	E13.0	bison
🐮	1F42E	fully-qualified	E0.6	cow face
🐂	1F402	fully-qualified	E1.0	ox
🐃	1F403	fully-qualified	E1.0	water buffalo
🐄	1F404	fully-qualified	E1.0	cow
🐷	1F437	fully-qualified	E0.6	pig face
🐖	1F416	fully-qualified	E1.0	pig
🐗	1F417	fully-qualified	E0.6	boar
🐽	1F43D	fully-qualified	E0.6	pig nose
🐏	1F40F	fully-qualified	E1.0	ram
🐑	1F411	fully-qualified	E0.6	ewe
🐐	1F410	fully-qualified	E1.0	goat
🐪	1F42A	fully-qualified	E1.0	camel
🐫	1F42B	fully-qualified	E0.6	two-hump camel
🦙	1F999	fully-qualified	E11.0	llama
🦒	1F992	fully-qualified	E5.0	giraffe
🐘	1F418	fully-qualified	E0.6	elephant
🦣	1F9A3	fully-qualified	E13.0	mammoth
🦏	1F98F	fully-qualified	E3.0	rhinoceros
🦛	1F99B	fully-qualified	E11.0	hippopotamus
🐭	1F42D	fully-qualified	E0.6	mouse face
🐁	1F401	fully-qualified	E1.0	mouse
🐀	1F400	fully-qualified	E1.0	rat
🐹	1F439	fully-qualified	E0.6	hamster
🐰	1F430	fully-qualified	E0.6	rabbit face
🐇	1F407	fully-qualified	E1.0	rabbit
🐿️	1F43F FE0F	fully-qualified	E0.7	chipmunk
🐿	1F43F	unqualified	E0.7	chipmunk
🦫	1F9AB	fully-qualified	E13.0	beaver
🦔	1F994	fully-qualified	E5.0	hedgehog
🦇	1F987	fully-qualified	E3.0	bat
🐻	1F43B	fully-qualified	E0.6	bear
🐻‍❄️	1F43B 200D 2744 FE0F	fully-qualified	E13.0	polar bear
🐻‍❄	1F43B 200D 2744	minimally-qualified	E13.0	polar bear
🐨	1F428	fully-qualified	E0.6	koala
🐼	1F43C	fully-qualified	E0.6	panda
🦥	1F9A5	fully-qualified	E12.0	sloth
🦦	1F9A6	fully-qualified	E12.0	otter
🦨	1F9A8	fully-qualified	E12.0	skunk
🦘	1F998	fully-qualified	E11.0	kangaroo
🦡	1F9A1	fully-qualified	E11.0	badger
🐾	1F43E	fully-qualified	E0.6	paw prints
🦃	1F983	fully-qualified	E1.0	turkey
🐔	1F414	fully-qualified	E0.6	chicken
🐓	1F413	fully-qualified	E1.0	rooster
🐣	1F423	fully-qualified	E0.6	hatching chick
🐤	1F424	fully-qualified	E0.6	baby chick
🐥	1F425	fully-qualified	E0.6	front-facing baby chick
🐦	1F426	fully-qualified	E0.6	bird
🐧	1F427	fully-qualified	E0.6	penguin
🕊️	1F54A FE0F	fully-qualified	E0.7	dove
🕊	1F54A	unqualified	E0.7	dove
🦅	1F985	fully-qualified	E3.0	eagle
🦆	1F986	fully-qualified	E3.0	duck
🦢	1F9A2	fully-qualified	E11.0	swan
🦉	1F989	fully-qualified	E3.0	owl
🦤	1F9A4	fully-qualified	E13.0	dodo
🪶	1FAB6	fully-qualified	E13.0	feather
🦩	1F9A9	fully-qualified	E12.0	flamingo
🦚	1F99A	fully-qualified	E11.0	peacock
🦜	1F99C	fully-qualified	E11.0	parrot
🪽	1FABD	fully-qualified	E15.0	wing
🐦‍⬛	1F426 200D 2B1B	fully-qualified	E15.0	black bird
🪿	1FABF	fully-qualified	E15.0	goose
🐦‍🔥	1F426 200D 1F525	fully-qualified	E15.1	phoenix
🐸	1F438	fully-qualified	E0.6	frog
🐊	1F40A	fully-qualified	E1.0	crocodile
🐢	1F422	fully-qualified	E0.6	turtle
🦎	1F98E	fully-qualified	E3.0	lizard
🐍	1F40D	fully-qualified	E0.6	snake
🐲	1F432	fully-qualified	E0.6	dragon face
